session_id,customer_id,session_start,session_end,pages_viewed,device
S70092,C1645,2024-02-17 23:19:00,2024-02-18 02:10:00,3.0,android app
S70093,C1069,2023-12-26 00:47:00,2023-12-26 04:42:00,1.0,desktop
S70094,C1106,24/11/2024 10:34,2024-11-24 13:51:00,2.0,android app
S70095,C1088,2023-04-24 20:00:00,2023-04-24 22:57:00,3.0,android app
S70096,C1596,24/11/2023 16:00,2023-11-24 18:30:00,5.0,android
S70097,C1671,2023-04-22 00:35:00,,1.0,ios
S70098,C1042,19/10/2024 17:56,2024-10-19 19:33:00,4.0,android
S70099,C1201,2024-11-27 13:31:00,2024-11-27 17:26:00,2.0,web
S70100,C1773,2024-08-31 15:51:00,2024-08-31 16:39:00,4.0,android app
S70101,C1361,24/09/2023 08:31,2023-09-24 10:40:00,2.0,ios
S70102,C1615,21/03/2024 02:37,2024-03-21 05:17:00,10.0,android app
S70103,C1307,2023-08-06 14:34:00,2023-08-06 17:50:00,1.0,android app
S70104,C1765,01/03/2025 23:35,2025-03-02 01:12:00,4.0,ios
S70105,C1014,13/03/2024 12:12,2024-03-13 13:44:00,4.0,android
S70106,C1591,2024-01-29 20:18:00,2024-01-29 22:41:00,10.0,desktop
S70107,C1300,02/02/2024 10:15,2024-02-02 13:20:00,2.0,desktop
S70108,C1170,2023-08-13 07:19:00,2023-08-13 08:23:00,,android
S70109,C1677,30/03/2024 14:17,2024-03-30 15:07:00,4.0,web
S70110,C1591,2025-01-31 18:26:00,2025-01-31 20:21:00,3.0,android app
S70111,C1289,23/08/2023 06:30,2023-08-23 08:54:00,1.0,mobile
S70112,C1064,14/08/2024 04:09,,5.0,android app
S70113,C1185,2024-12-10 13:58:00,2024-12-10 16:44:00,1.0,mobile
S70114,C1321,24/06/2023 16:07,2023-06-24 18:41:00,10.0,android app
S70115,C1578,22/09/2024 02:22,2024-09-22 03:09:00,5.0,desktop
S70116,C1459,01/01/2023 05:13,2023-01-01 06:44:00,,android
S70117,C1636,11/05/2024 09:13,2024-05-11 11:34:00,3.0,web
S70118,C1639,2024-07-16 20:31:00,2024-07-16 22:05:00,4.0,ios
S70119,C1756,08/09/2023 09:20,2023-09-08 11:34:00,5.0,ios
S70120,C1603,21/02/2023 10:10,2023-02-21 12:39:00,5.0,ios
S70121,C1037,2023-04-29 19:18:00,2023-04-29 19:15:00,5.0,ios
S70122,C1746,09/01/2023 10:58,2023-01-09 11:52:00,5.0,web
S70123,C1699,10/10/2024 00:16,2024-10-10 01:27:00,1.0,android
S70124,C1233,29/04/2024 04:48,2024-04-29 06:05:00,5.0,web
S70125,C1778,2024-03-02 00:39:00,2024-03-02 04:24:00,5.0,android app
S70126,C1790,2024-05-04 20:36:00,2024-05-04 23:26:00,3.0,android app
S70127,C1142,13/03/2024 05:38,2024-03-13 06:44:00,2.0,ios
S70128,C1252,19/03/2023 08:22,2023-03-19 08:52:00,3.0,android app
S70129,C1571,24/08/2024 15:28,2024-08-24 18:28:00,2.0,ios
S70130,C1555,30/08/2023 13:24,2023-08-30 13:35:00,1.0,android
S70131,C1726,2023-01-17 18:34:00,2023-01-17 20:26:00,,desktop
S70132,C1458,2025-02-08 23:59:00,2025-02-09 01:55:00,3.0,web
S70133,C1695,2023-11-21 18:07:00,2023-11-21 18:25:00,,android
S70134,C1428,2024-09-13 17:05:00,2024-09-13 17:31:00,3.0,ios
S70135,C1479,25/03/2024 09:31,2024-03-25 10:27:00,4.0,android
S70136,C1398,07/01/2025 07:24,2025-01-07 09:42:00,1.0,mobile
S70137,C1440,22/03/2024 11:13,2024-03-22 13:21:00,5.0,android
S70138,C1037,2024-09-20 14:41:00,2024-09-20 17:29:00,1.0,android
S70139,C1647,25/06/2024 16:22,2024-06-25 17:52:00,5.0,ios
S70140,C1396,2024-06-20 14:51:00,2024-06-20 14:46:00,10.0,ios
S70141,C1169,2023-11-03 16:47:00,2023-11-03 17:09:00,2.0,android
S70142,C1745,2024-09-01 21:43:00,2024-09-02 00:17:00,2.0,android
S70143,C1536,2023-12-21 20:55:00,2023-12-21 22:12:00,4.0,ios
S70144,C1591,2024-01-06 14:07:00,2024-01-06 18:00:00,4.0,desktop
S70145,C1327,08/09/2023 03:51,2023-09-08 07:03:00,10.0,ios
S70146,C1072,2024-10-08 19:34:00,2024-10-08 19:52:00,,ios
S70147,C1206,2023-09-17 08:16:00,2023-09-17 08:28:00,5.0,ios
S70148,C1799,10/01/2025 19:59,2025-01-10 21:38:00,10.0,ios
S70149,C1317,04/02/2024 02:58,2024-02-04 06:30:00,5.0,ios
S70150,C1017,2024-03-21 07:54:00,2024-03-21 11:39:00,2.0,mobile
S70151,C1663,01/08/2024 10:11,2024-08-01 11:46:00,2.0,android
S70152,C1217,14/12/2023 15:16,2023-12-14 15:13:00,2.0,mobile
S70153,C1577,03/05/2024 15:30,2024-05-03 17:09:00,2.0,android app
S70154,C1626,12/10/2023 07:28,2023-10-12 10:00:00,5.0,ios
S70155,C1481,2024-10-17 05:05:00,2024-10-17 07:36:00,3.0,ios
S70156,C1563,2023-05-26 07:32:00,2023-05-26 10:54:00,,android app
S70157,C1223,08/10/2023 16:29,2023-10-08 18:19:00,1.0,android app
S70158,C1546,2024-03-31 11:24:00,2024-03-31 12:35:00,3.0,mobile
S70159,C1472,16/03/2023 19:05,2023-03-16 21:24:00,10.0,android app
S70160,C1293,15/07/2024 18:53,2024-07-15 19:21:00,1.0,desktop
S70161,C1297,2024-06-15 15:21:00,2024-06-15 15:59:00,1.0,android
S70162,C1685,18/01/2024 15:37,2024-01-18 19:09:00,1.0,desktop
S70163,C1716,2024-11-15 17:54:00,2024-11-15 20:04:00,5.0,mobile
S70164,C1668,2023-08-15 04:46:00,2023-08-15 08:35:00,5.0,mobile
S70165,C1199,11/07/2023 19:02,2023-07-11 22:51:00,1.0,desktop
S70166,C1021,2024-10-16 00:58:00,2024-10-16 04:23:00,1.0,android app
S70167,C1540,2023-03-03 10:37:00,2023-03-03 12:10:00,3.0,web
S70168,C1102,2023-01-13 10:18:00,2023-01-13 11:43:00,4.0,android
S70169,C1522,26/12/2023 23:07,2023-12-27 00:49:00,5.0,web
S70170,C1201,24/03/2024 07:24,,1.0,android
S70171,C1417,2023-11-26 17:23:00,2023-11-26 18:13:00,2.0,web
S70172,C1244,2023-10-19 01:20:00,2023-10-19 02:35:00,2.0,android app
S70173,C1164,2025-01-16 18:04:00,,3.0,web
S70174,C1707,08/08/2024 07:17,2024-08-08 09:55:00,4.0,android app
S70175,C1774,2023-11-07 05:18:00,2023-11-07 06:21:00,10.0,mobile
S70176,C1582,23/02/2024 04:55,2024-02-23 07:02:00,4.0,web
S70177,C1680,04/11/2024 23:55,2024-11-05 00:34:00,4.0,ios
S70178,C1209,25/04/2024 03:08,2024-04-25 06:09:00,,android
S70179,C1648,2023-07-12 19:14:00,2023-07-12 19:59:00,,mobile
S70180,C1638,2023-09-10 01:49:00,2023-09-10 05:16:00,3.0,ios
S70181,C1700,2025-02-20 13:21:00,2025-02-20 15:53:00,3.0,mobile
S70182,C1458,31/08/2023 06:23,,5.0,android app
S70183,C1722,19/07/2023 22:23,2023-07-19 23:40:00,4.0,ios
S70184,C1008,19/09/2024 15:20,2024-09-19 15:36:00,4.0,desktop
S70185,C1184,22/08/2024 21:34,2024-08-22 22:13:00,5.0,desktop
S70186,C1394,21/01/2023 18:25,2023-01-21 18:33:00,10.0,ios
S70187,C1770,10/06/2023 16:11,2023-06-10 16:09:00,2.0,web
S70188,C1391,2025-01-17 22:07:00,2025-01-17 22:18:00,10.0,desktop
S70189,C1248,2024-08-31 12:58:00,2024-08-31 14:57:00,2.0,desktop
S70190,C1522,2023-01-01 16:31:00,2023-01-01 18:10:00,3.0,mobile
S70191,C1170,2024-07-27 15:48:00,2024-07-27 18:25:00,4.0,android app
S70192,C1004,2024-10-06 10:40:00,2024-10-06 14:24:00,3.0,android app
S70193,C1483,26/04/2024 16:41,2024-04-26 16:52:00,2.0,desktop
S70194,C1125,19/07/2024 04:49,2024-07-19 05:40:00,,android
S70195,C1356,19/12/2024 15:12,2024-12-19 16:52:00,4.0,desktop
S70196,C1316,2024-04-21 13:15:00,2024-04-21 14:16:00,3.0,desktop
S70197,C1572,2023-02-18 18:59:00,2023-02-18 22:37:00,5.0,android
S70198,C1081,25/04/2024 14:14,2024-04-25 17:09:00,5.0,android
S70199,C1564,2024-08-17 20:52:00,2024-08-17 22:03:00,10.0,mobile
S70200,C1333,11/06/2024 23:15,2024-06-12 00:04:00,3.0,desktop
S70201,C1120,23/03/2024 12:26,2024-03-23 13:07:00,3.0,desktop
S70202,C1227,2023-01-28 18:31:00,2023-01-28 21:55:00,4.0,mobile
S70203,C1228,2024-11-04 18:31:00,2024-11-04 20:42:00,10.0,ios
S70204,C1107,2024-05-30 10:59:00,2024-05-30 13:39:00,1.0,ios
S70205,C1079,2023-12-10 00:50:00,2023-12-10 02:55:00,1.0,mobile
S70206,C1481,2025-02-11 01:43:00,2025-02-11 03:47:00,3.0,desktop
S70207,C1521,20/10/2024 09:17,2024-10-20 10:37:00,,web
S70208,C1424,08/01/2024 21:02,2024-01-09 00:12:00,3.0,web
S70209,C1057,30/03/2024 22:08,2024-03-30 23:12:00,5.0,web
S70210,C1349,2024-09-07 12:10:00,2024-09-07 15:13:00,3.0,web
S70211,C1448,16/09/2024 23:49,2024-09-17 03:28:00,5.0,mobile
S70212,C1459,2025-01-28 00:43:00,2025-01-28 00:51:00,,android app
S70213,C1415,25/03/2023 00:59,2023-03-25 02:14:00,,android app
S70214,C1463,28/03/2024 19:14,2024-03-28 20:38:00,1.0,mobile
S70215,C1505,28/12/2024 05:44,2024-12-28 08:16:00,1.0,desktop
S70216,C1073,2023-06-01 12:22:00,2023-06-01 14:07:00,1.0,web
S70217,C1607,2023-06-01 14:33:00,2023-06-01 17:48:00,10.0,android app
S70218,C1139,12/06/2023 11:18,2023-06-12 13:09:00,2.0,desktop
S70219,C1721,2024-01-31 07:01:00,2024-01-31 08:20:00,2.0,web
S70220,,07/12/2023 19:19,2023-12-07 20:34:00,5.0,android app
S70221,C1680,2024-11-17 02:47:00,2024-11-17 03:40:00,,android
S70222,C1572,2023-12-26 13:31:00,2023-12-26 14:35:00,,mobile
S70223,C1565,2023-05-04 02:29:00,2023-05-04 05:20:00,3.0,android app
S70224,C1621,28/03/2024 10:13,2024-03-28 10:23:00,5.0,mobile
S70225,C1138,21/08/2024 17:53,2024-08-21 20:55:00,,mobile
S70226,C1781,2025-02-28 23:50:00,2025-03-01 01:15:00,1.0,ios
S70227,C1034,2024-03-28 05:17:00,2024-03-28 06:14:00,1.0,android app
S70228,C1233,2024-10-14 10:35:00,2024-10-14 12:58:00,1.0,web
S70229,C1060,03/04/2023 22:56,2023-04-04 00:00:00,10.0,desktop
S70230,C1159,2024-08-27 17:29:00,2024-08-27 18:17:00,2.0,desktop
S70231,C1543,2024-11-17 01:32:00,2024-11-17 05:12:00,4.0,mobile
S70232,C1454,18/11/2024 16:19,,3.0,desktop
S70233,C1327,2023-01-08 15:21:00,2023-01-08 18:17:00,3.0,desktop
S70234,C1448,2024-12-29 10:48:00,2024-12-29 14:40:00,10.0,ios
S70235,C1276,2023-07-25 22:35:00,2023-07-26 02:17:00,5.0,android app
S70236,C1034,03/01/2023 11:12,2023-01-03 12:42:00,4.0,android app
S70237,C1366,29/01/2025 12:21,2025-01-29 14:09:00,5.0,desktop
S70238,C1515,2024-09-25 20:30:00,2024-09-25 23:52:00,2.0,android
S70239,C1639,26/05/2023 13:33,2023-05-26 15:56:00,,android app
S70240,C1770,11/08/2023 19:23,2023-08-11 19:25:00,5.0,desktop
S70241,C1190,2023-02-04 14:47:00,2023-02-04 17:00:00,5.0,android
S70242,C1243,2024-12-15 00:22:00,2024-12-15 02:10:00,5.0,ios
S70243,C1695,2023-03-26 06:54:00,2023-03-26 07:36:00,,android
S70244,C1013,2023-02-16 13:38:00,2023-02-16 13:36:00,10.0,android
S70245,C1214,01/03/2024 14:11,2024-03-01 14:52:00,10.0,android
S70246,C1427,2023-03-08 04:34:00,2023-03-08 06:23:00,5.0,mobile
S70247,C1013,20/04/2023 10:24,,,web
S70248,C1387,2024-07-14 07:35:00,2024-07-14 09:53:00,4.0,android app
S70249,C1448,2024-04-05 00:52:00,2024-04-05 03:17:00,,desktop
S70250,C1500,07/07/2023 15:55,2023-07-07 17:33:00,,desktop
S70251,C1542,2024-06-17 10:14:00,2024-06-17 10:13:00,,ios
S70252,C1493,05/04/2024 18:56,2024-04-05 20:18:00,,ios
S70253,C1113,24/07/2024 04:07,2024-07-24 05:23:00,10.0,desktop
S70254,C1608,2023-10-23 23:36:00,2023-10-24 01:30:00,1.0,mobile
S70255,C1658,2023-06-24 09:05:00,2023-06-24 10:54:00,1.0,android
S70256,C1173,2023-08-17 15:06:00,2023-08-17 17:10:00,4.0,android app
S70257,C1272,2024-05-05 07:00:00,2024-05-05 10:25:00,3.0,web
S70258,C1777,2024-03-12 22:12:00,2024-03-13 00:28:00,,web
S70259,C1611,02/08/2024 01:53,2024-08-02 01:56:00,4.0,android app
S70260,C1483,2024-06-25 11:33:00,2024-06-25 14:17:00,2.0,web
S70261,C1678,09/08/2023 01:26,2023-08-09 04:44:00,5.0,web
S70262,C1179,26/07/2024 08:43,2024-07-26 09:51:00,2.0,android
S70263,C1387,28/05/2024 06:55,,4.0,android app
S70264,C1331,11/03/2024 16:59,2024-03-11 17:58:00,4.0,ios
S70265,C1349,07/05/2023 13:28,2023-05-07 14:05:00,1.0,mobile
S70266,C1768,2023-06-15 06:34:00,2023-06-15 09:52:00,3.0,android app
S70267,C1476,09/02/2024 13:21,,4.0,mobile
S70268,C1065,13/11/2024 13:02,2024-11-13 15:23:00,4.0,web
S70269,C1193,2024-02-13 15:30:00,2024-02-13 18:12:00,5.0,desktop
S70270,C1414,2024-01-16 11:36:00,2024-01-16 12:01:00,1.0,mobile
S70271,C1288,31/12/2023 14:50,2023-12-31 15:35:00,,ios
S70272,C1590,07/09/2023 23:58,2023-09-08 00:39:00,5.0,desktop
S70273,C1424,10/02/2025 10:18,2025-02-10 10:31:00,10.0,ios
S70274,C1488,13/04/2023 00:20,2023-04-13 02:56:00,3.0,mobile
S70275,C1264,2025-02-01 20:42:00,2025-02-01 20:58:00,10.0,ios
S70276,C1714,2024-03-28 15:57:00,2024-03-28 17:39:00,3.0,ios
S70277,C1372,05/11/2024 04:22,2024-11-05 04:24:00,4.0,desktop
S70278,C1097,2023-01-13 09:02:00,2023-01-13 10:25:00,2.0,ios
S70279,C1711,03/07/2023 10:44,2023-07-03 12:12:00,2.0,desktop
S70280,C1762,05/02/2025 17:41,2025-02-05 19:55:00,2.0,web
S70281,C1316,21/09/2024 23:32,2024-09-22 03:17:00,,mobile
S70282,C1323,15/07/2024 02:01,,1.0,web
S70283,C1234,05/10/2024 17:58,2024-10-05 18:13:00,10.0,android
S70284,C1463,2023-11-24 10:33:00,2023-11-24 10:51:00,3.0,mobile
S70285,C1364,03/04/2024 04:13,2024-04-03 08:07:00,1.0,web
S70286,C1783,17/12/2023 15:32,2023-12-17 17:33:00,3.0,web
S70287,C1181,26/10/2023 11:50,2023-10-26 13:23:00,4.0,desktop
S70288,C1363,2024-04-28 20:09:00,2024-04-28 20:57:00,1.0,android
S70289,C1454,2023-02-17 16:01:00,2023-02-17 19:21:00,3.0,mobile
S70290,C1736,2023-06-06 09:07:00,2023-06-06 11:51:00,2.0,web
S70291,C1307,2023-01-17 09:05:00,2023-01-17 09:35:00,2.0,mobile
S70292,C1304,14/01/2024 01:50,2024-01-14 03:01:00,4.0,desktop
S70293,C1694,23/04/2024 23:59,2024-04-24 01:05:00,4.0,web
S70294,C1530,2025-02-20 09:37:00,,1.0,ios
S70295,C1544,08/09/2023 03:25,2023-09-08 05:16:00,10.0,mobile
S70296,C1149,24/01/2024 00:33,2024-01-24 02:24:00,5.0,android
S70297,C1330,18/11/2024 03:27,2024-11-18 04:04:00,1.0,android app
S70298,C1142,2025-02-23 21:52:00,2025-02-23 22:17:00,1.0,web
S70299,C1737,28/04/2023 02:21,2023-04-28 05:42:00,5.0,web
S70300,C1429,2024-10-12 11:40:00,2024-10-12 12:40:00,4.0,android
S70301,C1670,2024-01-27 13:05:00,2024-01-27 16:32:00,5.0,desktop
S70302,C1618,2023-08-25 20:18:00,,1.0,desktop
S70303,C1587,2023-01-18 22:17:00,2023-01-18 22:27:00,10.0,android app
S70304,C1049,27/03/2024 21:41,2024-03-27 22:45:00,4.0,desktop
S70305,C1724,2023-12-31 01:02:00,2023-12-31 02:46:00,10.0,android app
S70306,C1115,12/02/2023 09:21,2023-02-12 10:50:00,4.0,android app
S70307,C1533,19/07/2024 09:02,2024-07-19 09:02:00,2.0,desktop
S70308,C1374,18/10/2024 17:37,2024-10-18 20:12:00,4.0,desktop
S70309,C1106,22/05/2023 04:40,2023-05-22 07:05:00,,desktop
S70310,C1780,04/05/2024 00:25,2024-05-04 03:36:00,4.0,android
S70311,C1105,2024-08-07 19:43:00,2024-08-07 23:11:00,1.0,android
S70312,C1114,08/02/2023 20:24,2023-02-08 23:22:00,5.0,android
S70313,C1322,2023-11-14 19:50:00,2023-11-14 20:40:00,10.0,ios
S70314,C1753,12/11/2023 19:15,2023-11-12 21:28:00,10.0,ios
S70315,C1443,2023-12-07 13:41:00,2023-12-07 14:31:00,,web
S70316,C1487,23/12/2023 23:44,2023-12-24 00:52:00,3.0,mobile
S70317,C1255,27/10/2024 16:02,2024-10-27 19:41:00,2.0,web
S70318,,25/11/2024 07:50,2024-11-25 11:14:00,5.0,mobile
S70319,C1237,02/11/2024 12:13,,4.0,web
S70320,C1556,29/07/2024 06:25,,2.0,ios
S70321,C1352,27/10/2023 15:08,2023-10-27 17:02:00,3.0,android app
S70322,C1076,2023-06-18 09:23:00,2023-06-18 10:46:00,2.0,desktop
S70323,C1327,30/11/2023 16:58,2023-11-30 18:44:00,,android app
S70324,C1470,2025-01-31 03:31:00,2025-01-31 03:48:00,4.0,mobile
S70325,C1438,2023-02-09 16:46:00,2023-02-09 18:08:00,1.0,web
S70326,C1293,15/08/2023 07:22,2023-08-15 10:46:00,2.0,desktop
S70327,C1753,08/03/2023 09:55,2023-03-08 10:39:00,,android app
S70328,C1430,20/10/2024 21:11,2024-10-20 21:28:00,4.0,mobile
S70329,C1506,2023-09-24 08:41:00,2023-09-24 12:40:00,2.0,desktop
S70330,C1037,13/10/2024 19:40,2024-10-13 19:42:00,5.0,web
S70331,C1664,2024-12-28 13:25:00,2024-12-28 16:31:00,3.0,android
S70332,C1377,2024-12-20 07:42:00,2024-12-20 11:12:00,,desktop
S70333,C1061,2024-09-14 01:49:00,2024-09-14 01:47:00,5.0,desktop
S70334,C1676,11/02/2023 23:02,2023-02-12 00:46:00,10.0,web
S70335,C1423,2023-09-24 11:13:00,2023-09-24 14:25:00,3.0,android
S70336,C1768,2024-08-28 22:35:00,,3.0,desktop
S70337,C1544,19/01/2023 08:44,2023-01-19 08:54:00,4.0,android app
S70338,C1009,2025-01-11 17:55:00,2025-01-11 21:09:00,4.0,ios
S70339,C1623,2025-02-17 17:51:00,2025-02-17 18:11:00,2.0,ios
S70340,C1557,2025-01-24 13:31:00,2025-01-24 15:09:00,5.0,web
S70341,C1207,2024-10-09 05:53:00,,5.0,web
S70342,C1516,20/11/2023 03:19,2023-11-20 06:51:00,10.0,ios
S70343,C1752,11/01/2023 21:36,2023-01-12 01:21:00,4.0,mobile
S70344,C1214,21/01/2024 03:47,2024-01-21 04:14:00,1.0,android app
S70345,C1069,24/03/2024 01:36,2024-03-24 03:18:00,4.0,mobile
S70346,C1596,2024-08-16 16:28:00,2024-08-16 18:18:00,1.0,web
S70347,C1228,04/08/2023 02:31,,,web
S70348,C1265,2023-01-15 18:32:00,2023-01-15 20:43:00,4.0,android
S70349,C1444,29/04/2023 12:26,2023-04-29 13:31:00,4.0,desktop
S70350,C1331,2024-06-30 17:06:00,2024-06-30 17:26:00,3.0,ios
S70351,C1719,2023-08-17 00:14:00,2023-08-17 01:38:00,,android
S70352,C1061,2024-10-03 17:18:00,2024-10-03 19:02:00,5.0,android
S70353,C1181,2024-01-24 19:06:00,2024-01-24 21:43:00,4.0,android app
S70354,C1777,2024-11-26 05:35:00,2024-11-26 06:57:00,2.0,android app
S70355,C1496,2023-04-09 11:03:00,2023-04-09 14:54:00,4.0,android
S70356,C1327,2023-04-14 12:16:00,2023-04-14 14:36:00,10.0,desktop
S70357,C1521,30/11/2023 08:59,2023-11-30 10:57:00,,mobile
S70358,C1438,23/02/2024 12:09,2024-02-23 14:30:00,3.0,web
