transaction_id,customer_id,product_id,quantity,unit_price,total_amount,created_at,payment_status,order_source
T50092,C1693,P248,1,N/A,,03/04/2023 02:25 AM,,web
T50093,C1635,P227,1,N/A,,2027-08-09 05:36:00,,mobile
T50094,C1150,P235,1,114.02,114.02,23-11-2024 00:30,refunded,mobile
T50095,C1123,P204,2,149.42,298.84,16-07-2023 18:37,,
T50096,C1775,P218,2,274.91,549.82,07/01/2023 04:53 PM,refunded,
T50097,C1459,P230,1,138.78,138.78,09/22/2024 02:43 AM,PAID,web
T50098,C1177,P208,1,185.61,185.61,03-08-2024 17:59,charged_back,partner
T50099,C1171,P207,2,9.43,18.86,06/13/2023 03:07 PM,refunded,
T50100,C1216,P244,1,0.93,0.93,2024-07-29 04:26:00,charged_back,partner
T50101,C1197,P217,1,166.26,166.26,20-12-2024 10:56,PAID,web
T50102,C1129,P221,3,97.36,292.08,2025-02-26 06:49:00,paid,partner
T50103,C1043,P233,1,302.21,302.21,2023-08-27 14:05:00,refunded,partner
T50104,C1433,P226,1,36.75,36.75,13-04-2024 23:58,paid,store
T50105,C1080,P233,1,303.95,303.95,01/07/2023 05:27 PM,,store
T50106,C1699,P213,1,143.76,143.76,12-11-2023 19:16,,store
T50107,C1445,P244,5,-11.99,-59.95,25-06-2023 12:37,refunded,web
T50108,C1206,P213,2,153.74,307.48,26-10-2023 05:01,PAID,partner
T50109,C1642,P239,1,,,31-07-2023 22:44,PAID,
T50110,C1151,P203,5,82.78,413.9,2024-08-28 17:43:00,,partner
T50111,C1609,P206,5,80.0,400.0,11-11-2024 07:56,charged_back,web
T50112,C1264,P236,1,17.03,17.03,2023-03-31 21:49:00,PAID,
T50113,C1327,P246,1,1.43,1.43,09/01/2023 10:19 AM,refunded,store
T50114,C1744,P240,3,193.05,579.15,04-12-2024 20:38,,
T50115,C1068,P233,2,329.77,659.54,2024-12-09 00:07:00,paid,
T50116,C1089,P205,1,76.45,76.45,10/17/2023 11:49 AM,PAID,store
T50117,C1397,P230,1,170.23,170.23,02-08-2024 19:26,PAID,store
T50118,C1569,P246,2,4.23,8.46,05-04-2024 00:24,PAID,web
T50119,C1406,P244,2,-16.83,-33.66,2024-09-05 05:04:00,refunded,partner
T50120,C1565,P238,2,51.58,103.16,23-09-2024 10:52,PAID,partner
T50121,C1333,P245,2,166.13,332.26,07/05/2024 02:12 PM,pending,store
T50122,C1282,P218,3,252.37,757.11,03-01-2023 11:16,pending,web
T50123,C1532,P227,5,15.06,75.3,09/13/2024 04:10 PM,charged_back,web
T50124,C1469,P238,1,57.75,57.75,06-10-2023 07:35,PAID,mobile
T50125,C1012,P220,1,20.86,20.86,2024-06-08 23:49:00,paid,web
T50126,C1717,P216,2,7.39,14.78,2023-10-12 21:50:00,charged_back,web
T50127,C1638,P233,1,328.87,328.87,09/09/2023 01:44 AM,charged_back,web
T50128,C1601,P236,1,14.69,14.69,31-05-2023 22:43,charged_back,store
T50129,C1535,P239,5,46.12,230.6,28-01-2025 02:29,charged_back,
T50130,C1429,P222,3,87.23,261.69,01/12/2025 05:07 PM,refunded,
T50131,C1115,P208,1,N/A,,29-02-2024 15:32,,partner
T50132,C1424,P239,1,44.73,44.73,01/06/2023 12:40 PM,pending,partner
T50133,C1153,P236,1,9.7,9.7,21-01-2024 20:17,refunded,store
T50134,C1151,P231,1,52.4,52.4,10-11-2024 07:43,,
T50135,C1580,P233,2,265.91,531.82,2023-04-27 10:56:00,paid,store
T50136,C1602,P246,1,-4.59,-4.59,22-10-2024 16:37,PAID,store
T50137,C1596,P240,2,182.97,365.94,02/12/2025 01:06 AM,refunded,
T50138,C1776,P231,1,58.76,58.76,2024-01-24 20:54:00,pending,store
T50139,C1102,P231,2,59.51,119.02,09/16/2023 06:58 PM,PAID,store
T50140,C1108,P211,1,169.82,169.82,01/10/2025 09:09 PM,,partner
T50141,C1576,P239,5,68.06,340.3,31-10-2024 16:05,paid,store
T50142,C1798,P214,5,110.74,553.7,2023-12-03 00:12:00,refunded,
T50143,C1103,P245,1,169.86,169.86,04-04-2024 01:07,pending,store
T50144,C1292,P218,3,282.56,847.68,05/02/2024 01:59 AM,refunded,store
T50145,C1548,P212,1,0.61,0.61,09/05/2024 04:26 AM,,store
T50146,C1352,P200,5,106.72,533.6,07-10-2024 09:02,charged_back,partner
T50147,C1420,P207,5,3.65,18.25,04/01/2024 01:13 AM,charged_back,store
T50148,C1270,P201,5,50.18,250.9,01-02-2023 16:40,pending,store
T50149,C1392,P229,3,156.91,470.73,06-07-2024 01:33,charged_back,web
T50150,C1670,P240,1,202.94,202.94,17-10-2024 02:29,pending,web
T50151,C1497,P207,2,9.22,18.44,13-06-2023 12:09,refunded,partner
T50152,C1585,P247,2,267.61,535.22,25-06-2024 05:38,,mobile
T50153,C1623,P213,5,126.78,633.9,02/29/2024 05:11 PM,charged_back,web
T50154,C1484,P239,5,51.58,257.9,10/28/2024 09:53 AM,pending,web
T50155,C1038,P226,3,39.8,119.4,03-11-2023 16:20,pending,
T50156,C1176,P226,1,42.51,42.51,2025-02-09 00:42:00,paid,
T50157,C1282,P202,5,132.46,662.3,01/20/2023 02:09 PM,pending,partner
T50158,C1412,P221,5,106.83,534.15,06/12/2024 04:42 PM,charged_back,
T50159,C1147,P222,1,68.75,68.75,16-08-2024 10:36,,mobile
T50160,C1633,P235,1,140.26,140.26,2023-07-08 20:41:00,PAID,web
T50161,C1623,P240,1,207.03,207.03,23-04-2024 20:17,refunded,store
T50162,C1697,P213,1,154.49,154.49,01-04-2023 02:26,,partner
T50163,C1710,P200,3,114.25,342.75,07/06/2024 12:27 AM,refunded,partner
T50164,C1411,P240,3,166.46,499.38,2024-08-29 21:07:00,charged_back,partner
T50165,C1039,P212,1,7.65,7.65,2025-01-06 19:56:00,PAID,mobile
T50166,C1405,P244,5,-14.28,-71.4,01/30/2024 03:10 AM,charged_back,web
T50167,C1339,P218,2,,,28-04-2024 12:25,charged_back,store
T50168,C1707,P216,2,8.18,16.36,2023-05-16 00:35:00,refunded,partner
T50169,C1243,P204,5,143.96,719.8,2023-02-03 16:08:00,charged_back,web
T50170,C1050,P219,1,N/A,,2023-01-18 07:39:00,PAID,partner
T50171,C1763,P219,3,59.6,178.8,05/03/2023 02:03 PM,,web
T50172,C1486,P232,3,30.33,90.99,12-10-2024 05:59,pending,web
T50173,C1275,P235,3,129.46,388.38,2024-03-07 06:43:00,PAID,web
T50174,C1381,P220,5,37.51,187.55,09/28/2023 08:17 AM,paid,web
T50175,C1020,P249,2,159.26,318.52,12-08-2023 10:51,,store
T50176,C1345,P200,5,102.05,510.25,01-09-2024 12:40,,web
T50177,C1310,P207,1,10.48,10.48,10/28/2024 05:41 AM,PAID,mobile
T50178,C1318,P243,5,53.63,268.15,17-09-2023 10:33,charged_back,web
T50179,C1287,P221,2,108.07,216.14,11/27/2024 03:57 PM,charged_back,web
T50180,C1503,P221,1,88.99,88.99,07-01-2023 02:11,pending,web
T50181,C1712,P225,1,121.28,121.28,12-01-2023 23:47,pending,store
T50182,C1701,P246,1,-7.37,-7.37,2023-10-30 21:59:00,PAID,mobile
T50183,C1100,P236,1,21.47,21.47,2024-11-04 04:19:00,PAID,store
T50184,C1233,P239,3,61.02,183.06,16-06-2023 21:56,refunded,partner
T50185,C1137,P201,1,49.99,49.99,01/18/2024 06:26 AM,pending,partner
T50186,C1307,P211,2,163.27,326.54,2024-09-02 00:37:00,charged_back,
T50187,C1761,P212,5,5.29,26.45,03-04-2023 04:14,PAID,partner
T50188,C1453,P221,5,90.07,450.35,04/14/2024 11:15 AM,charged_back,mobile
T50189,C1792,P221,5,98.43,492.15,01/10/2023 05:35 AM,,mobile
T50190,C1328,P243,1,57.25,57.25,30-09-2023 18:28,paid,web
T50191,C1275,P230,3,122.26,366.78,2024-02-19 22:03:00,pending,store
T50192,C1746,P230,3,165.21,495.63,09/13/2023 07:24 PM,pending,web
T50193,C1426,P202,1,126.41,126.41,10/26/2024 02:00 PM,charged_back,
T50194,C1619,P241,1,155.02,155.02,16-05-2023 09:15,PAID,
T50195,C1661,P208,1,196.89,196.89,20-01-2024 10:08,refunded,web
T50196,C1091,P230,3,144.87,434.61,2025-02-22 22:19:00,PAID,partner
T50197,C1192,P209,3,45.64,136.92,2023-02-13 11:22:00,PAID,
T50198,C1452,P240,1,200.75,200.75,16-08-2023 22:48,,web
T50199,C1216,P229,3,150.94,452.82,11-03-2024 08:32,pending,store
T50200,C1416,P234,1,157.43,157.43,10-02-2025 02:44,refunded,web
T50201,C1758,P221,5,119.09,595.45,2024-06-29 14:50:00,paid,mobile
T50202,C1496,P229,1,N/A,,12-01-2024 08:43,pending,web
T50203,C1777,P226,1,46.12,46.12,01/17/2023 07:55 AM,pending,web
T50204,C1528,P247,1,235.3,235.3,02/14/2024 10:17 PM,charged_back,store
T50205,C1382,P203,3,111.1,333.3,06/06/2024 05:09 PM,charged_back,
T50206,C1057,P233,3,,,2023-05-02 11:55:00,pending,mobile
T50207,C1527,P219,1,79.55,79.55,2025-01-04 18:28:00,,
T50208,C1162,P236,1,16.23,16.23,2024-05-25 07:33:00,refunded,web
T50209,C1067,P246,1,2.1,2.1,14-01-2024 08:45,refunded,store
T50210,C1318,P243,5,42.75,213.75,2024-02-14 13:09:00,PAID,
T50211,C1726,P220,2,33.21,66.42,07/22/2023 04:14 AM,pending,partner
T50212,C1518,P235,3,134.44,403.32,03/14/2024 01:24 AM,paid,web
T50213,C1413,P234,1,159.95,159.95,17-02-2024 14:38,refunded,web
T50214,C1138,P201,5,48.72,243.6,03/05/2025 07:33 PM,,store
T50215,C1799,P213,1,145.34,145.34,02/22/2024 09:37 AM,charged_back,store
T50216,C1536,P236,1,9.54,9.54,17-03-2023 04:23,PAID,mobile
T50217,C1582,P243,1,43.96,43.96,18-08-2024 09:36,paid,partner
T50218,C1029,P221,5,124.21,621.05,05/11/2024 09:57 PM,PAID,store
T50219,C1177,P222,3,84.68,254.04,06/28/2023 04:47 AM,PAID,store
T50220,C1197,P204,1,158.96,158.96,2023-02-21 08:11:00,charged_back,mobile
T50221,C1205,P209,1,59.67,59.67,09/11/2024 04:24 PM,pending,web
T50222,C1059,P217,1,197.66,197.66,08-07-2023 05:26,PAID,web
T50223,C1255,P201,5,56.72,283.6,2024-07-31 19:08:00,charged_back,mobile
T50224,C1033,P221,1,112.82,112.82,01/12/2023 12:26 PM,charged_back,mobile
T50225,C1467,P224,2,50.58,101.16,12-02-2024 02:29,charged_back,web
T50226,C1051,P240,1,183.51,183.51,22-01-2027 18:26,,partner
T50227,C1369,P234,3,128.63,385.89,2023-07-01 06:57:00,PAID,mobile
T50228,C1721,P210,5,80.92,404.6,12/20/2023 12:39 PM,paid,web
T50229,C1203,P236,1,8.07,8.07,2024-08-27 19:42:00,paid,mobile
T50230,C1280,P238,2,62.65,125.3,2023-06-08 18:58:00,,web
T50231,C1377,P224,1,50.07,50.07,01/24/2025 07:50 PM,PAID,web
T50232,C1475,P211,1,143.01,143.01,01/21/2025 05:15 PM,refunded,
T50233,C1517,P238,5,65.35,326.75,09-08-2023 10:48,refunded,mobile
T50234,C1406,P207,3,12.7,38.1,2024-07-20 23:30:00,PAID,web
T50235,C1650,P248,3,148.1,444.3,2024-02-14 17:32:00,refunded,mobile
T50236,C1126,P219,5,68.68,343.4,04/20/2024 10:31 PM,refunded,mobile
T50237,C1697,P245,5,144.43,722.15,2024-04-06 19:11:00,,web
T50238,C1031,P220,5,27.53,137.65,17-01-2024 13:00,,web
T50239,C1247,P245,3,137.58,412.74,05-11-2023 03:15,,web
T50240,C1381,P202,3,161.73,485.19,2023-09-18 16:11:00,,web
T50241,C1500,P217,1,217.94,217.94,02/20/2023 04:55 PM,refunded,web
T50242,C1608,P226,1,N/A,,2023-09-15 19:52:00,pending,partner
T50243,C1456,P205,1,82.9,82.9,09/10/2023 03:20 AM,charged_back,
T50244,C1181,P231,1,50.05,50.05,24-07-2023 19:33,PAID,web
T50245,C1485,P215,5,108.42,542.1,2025-02-02 06:48:00,charged_back,store
T50246,C1600,P223,5,83.04,415.2,05-09-2024 02:09,refunded,partner
T50247,C1564,P228,3,100.05,300.15,2023-05-10 12:00:00,refunded,partner
T50248,C1358,P219,5,62.94,314.7,31-01-2023 00:57,paid,web
T50249,C1352,P213,1,154.0,154.0,03/10/2023 09:19 AM,refunded,web
T50250,C1167,P233,5,246.43,1232.15,20-02-2023 20:42,charged_back,partner
T50251,C1264,P219,2,80.96,161.92,2024-12-16 14:59:00,refunded,partner
T50252,C1766,P211,3,156.08,468.24,2024-02-13 04:53:00,refunded,web
T50253,C1705,P207,5,10.27,51.35,23-09-2024 23:47,charged_back,store
T50254,C1092,P223,1,76.1,76.1,03/10/2023 09:47 AM,,partner
T50255,C1291,P202,1,129.38,129.38,29-10-2024 21:14,PAID,partner
T50256,C1028,P249,1,N/A,,02/04/2023 09:46 AM,pending,mobile
T50257,C1395,P212,3,-0.5,-1.5,2024-07-31 02:13:00,paid,
T50258,C1050,P205,3,86.3,258.9,11/04/2023 03:01 AM,charged_back,partner
T50259,C1166,P228,1,146.26,146.26,07/29/2023 04:51 PM,,partner
T50260,C1585,P232,1,18.24,18.24,2024-08-11 15:20:00,,mobile
T50261,C1798,P201,2,47.4,94.8,06/05/2023 08:53 PM,paid,web
T50262,C1219,P230,1,161.94,161.94,10-07-2024 15:08,refunded,store
T50263,C1226,P232,1,27.8,27.8,02/03/2023 06:39 PM,PAID,web
T50264,C1662,P209,5,43.97,219.85,2024-07-07 13:41:00,charged_back,partner
T50265,C1230,P212,2,1.86,3.72,02-12-2023 21:24,charged_back,web
T50266,C1693,P221,2,N/A,,11/01/2023 05:47 AM,pending,partner
T50267,C1211,P230,1,158.23,158.23,2024-11-14 22:08:00,,mobile
T50268,C1275,P246,1,2.24,2.24,2023-10-31 00:21:00,PAID,store
T50269,C1667,P233,1,N/A,,09/27/2024 10:41 PM,pending,web
T50270,C1419,P219,2,70.16,140.32,06/04/2023 01:33 AM,charged_back,store
T50271,C1525,P249,1,113.65,113.65,07/07/2023 07:21 AM,PAID,partner
T50272,C1020,P220,2,31.47,62.94,2023-08-26 00:36:00,refunded,partner
T50273,C1799,P209,1,60.2,60.2,2024-05-11 13:27:00,paid,store
T50274,C1785,P249,2,155.35,310.7,09/15/2024 03:39 AM,pending,
T50275,C1698,P206,1,76.91,76.91,09/25/2023 05:57 PM,pending,web
T50276,C1009,P233,1,298.2,298.2,27-09-2024 12:08,pending,mobile
T50277,C1485,P243,5,47.02,235.1,2024-08-05 17:58:00,PAID,partner
T50278,C1135,P208,3,148.08,444.24,04-02-2023 20:54,charged_back,web
T50279,C1662,P213,2,133.59,267.18,2024-01-14 12:34:00,,store
T50280,C1177,P246,3,-8.42,-25.26,05/15/2023 12:05 AM,pending,web
T50281,C1615,P202,3,180.57,541.71,04/30/2024 09:23 PM,,web
T50282,C1008,P229,3,134.26,402.78,2023-09-09 20:59:00,charged_back,mobile
T50283,C1229,P224,2,57.55,115.1,01/03/2023 02:39 PM,,
T50284,C1258,P245,1,144.76,144.76,02/23/2024 01:06 PM,charged_back,web
T50285,C1622,P233,3,265.61,796.83,2024-06-22 13:36:00,,store
T50286,C1312,P207,2,1.56,3.12,12/08/2023 03:09 PM,,
T50287,C1729,P200,5,94.67,473.35,2025-02-14 20:58:00,pending,web
T50288,C1726,P219,2,60.99,121.98,01/20/2025 08:49 PM,charged_back,
T50289,C1658,P202,2,166.32,332.64,2023-10-25 00:19:00,PAID,mobile
T50290,C1281,P243,5,45.74,228.7,2023-09-11 09:31:00,charged_back,partner
T50291,C1433,P238,2,61.86,123.72,09/21/2023 03:45 AM,PAID,partner
T50292,C1385,P205,5,86.88,434.4,17-06-2023 10:14,,store
T50293,C1357,P221,2,94.45,188.9,2023-03-16 21:12:00,paid,store
T50294,C1470,P229,1,109.44,109.44,2024-05-08 21:39:00,paid,web
T50295,C1258,P202,1,172.69,172.69,11/20/2023 12:06 PM,pending,store
T50296,C1223,P206,3,80.02,240.06,14-01-2023 01:31,pending,mobile
T50297,C1477,P233,1,326.75,326.75,2024-05-16 15:12:00,paid,
T50298,C1309,P249,2,137.93,275.86,19-10-2024 05:04,,mobile
T50299,C1693,P242,5,39.4,197.0,23-05-2024 11:03,refunded,web
T50300,C1533,P247,2,215.75,431.5,2023-08-20 13:05:00,charged_back,
T50301,C1638,P219,1,58.42,58.42,14-02-2025 18:48,,web
T50302,C1406,P201,5,37.35,186.75,10-11-2024 05:02,,partner
T50303,C1598,P236,3,10.86,32.58,31-05-2023 22:21,charged_back,
T50304,C1104,P248,3,107.38,322.14,09/28/2024 11:53 PM,,
T50305,C1007,P219,1,71.25,71.25,20-08-2024 19:46,charged_back,web
T50306,C1523,P240,5,162.12,810.6,03/14/2023 06:12 PM,pending,store
T50307,C1678,P213,1,137.73,137.73,06/12/2024 03:12 PM,,
T50308,C1383,P220,2,22.21,44.42,2023-08-04 14:02:00,pending,partner
T50309,C1574,P212,2,3.01,6.02,07/14/2023 09:46 AM,PAID,web
T50310,C1662,P212,1,3.29,3.29,08-07-2023 09:54,pending,store
T50311,C1608,P218,5,254.37,1271.85,2023-11-14 08:54:00,refunded,
T50312,C1623,P217,1,212.79,212.79,04/04/2024 09:35 AM,charged_back,web
T50313,C1289,P234,3,152.91,458.73,15-09-2024 00:49,refunded,mobile
T50314,C1305,P220,1,23.27,23.27,05-10-2023 15:27,refunded,partner
T50315,C1700,P249,1,,,01/27/2023 02:47 PM,charged_back,
T50316,C1110,P228,3,113.64,340.92,07/01/2024 01:55 PM,paid,store
T50317,C1493,P242,2,,,12-05-2023 07:20,pending,web
T50318,C1065,P207,1,-0.96,-0.96,09-03-2023 00:44,charged_back,
T50319,C1344,P217,1,198.27,198.27,2024-04-26 13:20:00,paid,web
T50320,C1283,P209,1,48.29,48.29,20-03-2023 19:04,pending,web
T50321,C1655,P210,3,81.27,243.81,2024-04-27 20:02:00,charged_back,web
T50322,C1332,P217,1,206.49,206.49,05-12-2024 17:54,pending,
T50323,C1283,P207,1,13.02,13.02,10-03-2025 11:05,refunded,web
T50324,C1267,P200,3,101.28,303.84,05/09/2024 10:15 PM,pending,web
T50325,C1671,P239,1,43.78,43.78,11/04/2024 05:55 AM,pending,
T50326,C1728,P235,1,143.9,143.9,2024-07-05 18:22:00,refunded,store
T50327,C1667,P232,1,22.31,22.31,03/22/2023 08:22 AM,paid,mobile
T50328,C1305,P206,1,68.24,68.24,2024-01-28 06:16:00,paid,partner
T50329,C1192,P213,1,157.94,157.94,02/07/2023 07:52 PM,pending,store
T50330,C1153,P234,1,154.17,154.17,03/17/2023 05:50 PM,refunded,web
T50331,C1529,P222,1,55.97,55.97,29-12-2023 16:00,paid,partner
T50332,C1783,P235,2,116.47,232.94,19-12-2023 11:34,,
T50333,C1246,P220,1,27.58,27.58,01/29/2025 02:46 AM,PAID,store
T50334,C1058,P217,1,193.49,193.49,2025-01-24 03:20:00,charged_back,store
T50335,C1614,P209,1,60.19,60.19,2024-04-07 08:17:00,charged_back,
T50336,C1413,P245,3,141.04,423.12,05-01-2025 19:25,pending,mobile
T50337,C1676,P218,2,311.49,622.98,16-11-2024 11:15,charged_back,web
T50338,C1327,P236,1,19.43,19.43,08-09-2024 21:07,,mobile
T50339,C1697,P215,1,120.5,120.5,2024-02-12 01:41:00,paid,store
T50340,C1143,P210,1,101.48,101.48,05/18/2024 03:00 PM,pending,
T50341,C1738,P204,1,121.27,121.27,02/21/2023 09:00 AM,refunded,web
T50342,C1026,P219,1,,,2024-08-24 07:57:00,paid,partner
T50343,C1671,P239,5,57.95,289.75,01/13/2023 10:19 PM,refunded,mobile
T50344,C1509,P221,2,119.4,238.8,2023-11-23 09:07:00,pending,store
T50345,C1302,P234,1,161.74,161.74,07/06/2024 08:01 AM,paid,web
T50346,C1265,P228,1,103.38,103.38,02/18/2025 07:38 AM,,partner
T50347,C1428,P203,3,96.64,289.92,12/29/2024 05:09 PM,PAID,web
T50348,C1414,P208,1,,,07/02/2023 02:51 AM,paid,store
T50349,C1397,P201,1,,,2024-07-06 00:43:00,PAID,web
T50350,C1754,P230,1,136.62,136.62,2023-08-03 18:24:00,PAID,store
T50351,C1036,P243,2,57.26,114.52,2024-02-08 05:49:00,pending,mobile
T50352,C1597,P203,2,103.37,206.74,2025-01-26 23:02:00,,store
T50353,C1725,P206,3,69.9,209.7,2023-09-02 16:23:00,,store
T50354,C1585,P224,1,48.55,48.55,11-07-2024 17:25,paid,web
T50355,C1194,P203,3,117.67,353.01,2024-12-01 08:40:00,pending,
